restaurant_id,restaurant_name,has_menu,method,valid_review_count,top1_menu,top1_count,top2_menu,top2_count,top3_menu,top3_count,top4_menu,top4_count,top5_menu,top5_count
catchtable_mLluihaWZljmgI-yGr7WXg,오젠,True,weighted_match,118,오마카세 코스,11,,,,,,,,
catchtable_dIfpwx_lvK64y14WLfzGdg,또보겠지떡볶이집 강남헬로몽키점,True,weighted_match,236,날치알 볶음밥,45,버터갈릭 감자튀김,41,또보겠지 즉석 떡볶이,2,,,,
catchtable_d3ulzHch1vuKN3909cOocg,빕스 부산서면점,True,weighted_match,334,안심&채끝 스테이크,37,안심 스테이크,35,그릴드 랍스터&채끝 스테이크,34,허브 갈릭 램&채끝 스테이크,34,채끝 스테이크,33
catchtable_GupivtIaBOh33ZBr_XiPlw,고기싸롱 왕십리점,True,weighted_match,232,무한리필 성인기준,24,,,,,,,,
catchtable_5TCiJVqyIdBjZyQs4mlCyw,7th Door,True,weighted_match,511,런치 와인 페어링,51,디너 와인 페어링,51,주말런치 코스,39,런치 코스,35,디너 코스,35
catchtable_hjYdMR_d0hIILpkDQY8JoA,한비,True,weighted_match,117,수비드 갈비 도삭면,11,트러플 감자전,8,묵은지 육토마끼,7,쑥 아이스&율무 크럼블,5,은대구 곤드레 솥밥,4
catchtable_lh4MgaiNxcYI-hv_lJynyQ,오부이용,True,weighted_match,1591,코스 1,112,코스 2,112,코스 3,109,점심메뉴,1,,
catchtable_jn5ISOcpWQ8ndd-fwX4v2Q,스시소라 정자점,True,weighted_match,3129,런치 스시오마카세,843,디너 스시오마카세,843,,,,,,
catchtable_JvcxPkSV5orH-2w4GKHbiQ,칸나칼국수,True,weighted_match,255,국내최초 닭구이 칸나칼국수,30,100% 국내산 손수 겉절이,19,12시간 이상 고아낸 닭육수,18,100% 국내산 수제 닭구이토핑,2,,
catchtable_15COiU7KwOQu5S2V8i9SZA,우진가 교대점,True,weighted_match,180,안심,8,안창살,5,새우살,2,채끝,2,제비추리,1
catchtable_luRtoD0mQVUsRKFnzgJV5Q,무쇠옥 종각본점,True,weighted_match,126,숯불고기+냉면,80,솔뚜껑 볶음밥,36,삼겹살 150g,3,된장찌개,2,돼지김치구이,2
catchtable_AzgbcNo2WSbtiRIq4oGsPg,일우담(구.우심 일산점),True,weighted_match,136,한우육회비빔밥,23,한우된장찌개,18,한우육회 (180g),17,1++ NO.9 안심 (150g),11,일우담 꽃등심 (150g),10
catchtable_H5agc4lxvloTah4vxPlMpw,콘피에르 셀렉션 롯데월드몰점,True,weighted_match,602,시금치 소스와 한치,6,블러드 오렌지 소르베,6,홍새우 미나리 비스큐 파스타,5,제주 흑돼지 안심 스테이크,3,봉화 오리 라구 파스타,1
catchtable_pZTYqizxB1mzOhdiTmQeFg,장 스테이크하우스,True,weighted_match,353,1++ 한우 스테이크 테이스팅 시그니처 세트,140,1++ 한우 스테이크 테이스팅 베이직 세트,140,1++ 한우 등심 스테이크 300g,27,활바닷가재 & 1++ 한우 스테이크 코스,26,활바닷가재 & 비스크 리조또,23
catchtable_D4HLcezzTC8fG38UcVUEZQ,스시키라쿠,True,weighted_match,1272,런치 오마카세,234,디너 오마카세,232,,,,,,
catchtable_jgsQqhXKJYjlP_r651Z7Hw,산로,True,weighted_match,478,런치 장어덮밥,123,산로 디너 가이세키,42,,,,,,
catchtable_lKYN4y9HPd7LIiSEdzqoWg,고메스퀘어 롯데마트 구리점,True,weighted_match,225,주말 및 공휴일,20,주말 및 공휴일 초등학생,20,주말 및 공휴일 미취학 아동,20,평일 런치,9,평일 디너,7
catchtable_j2HFwyGMr1giD-9-6ucLzg,스낵바세이지 어부bar,True,weighted_match,141,네기도로(참치) 김치낫또 마제소바,27,어부바오마카세 숙성회(소)2인,15,어부바오마카세 숙성회(중)2~3인,15,어부바오마카세 숙성회(대)3~4인,15,명란크림국물만땅파스타,8
catchtable_87yXNW4V59S7l8hZE2mxoA,익스첼,True,weighted_match,253,파히타,14,연어 토스타다,11,고구마 과카몰리,10,비리아 타코,6,까르니타스,4
catchtable_rHV3H4hEI0_uu_psZugQ_A,오동추야,True,weighted_match,337,A.특별한상차림)소왕양념갈비 한 상,55,(점심) A 소양념갈비 한 상,48,신메뉴) 소양념갈비,48,LA 양념갈비,48,한돈명품생갈비,35
catchtable_tZ2mCf6lxzWqSWW5oUGu7g,해쉬 전포점,True,weighted_match,151,목살 플레이트,5,알리오올리오,3,베이컨 포테이토 피자,2,반반피자,1,매콤크림봉골레,1
catchtable_px3JrTxl0fEMbouepmSPhg,탁식,True,weighted_match,163,양념갈비살,27,갈비살 모듬(150g),18,안창살(예약한정메뉴),17,탁면,8,펠앤콜 수제아이스크림(솔티 캬라멜),6
catchtable_dcXPJsgYPKcUVGtgTdX--A,황금콩밭 ,True,weighted_match,507,청국장,33,생두부,25,두부전,21,두부짜글이,11,두부완자,7
